"x","y","marks"
132,1428,"1"
132,4745,"1"
133,2459,"1"
133,1332,"4"
133,4245,"1"
133,2938,"2"
133,3204,"2"
133,2408,"1"
134,2114,"1"
134,1829,"1"
134,4874,"1"
134,3057,"2"
134,2052,"0"
134,5081,"1"
134,2829,"2"
135,4838,"1"
135,1873,"1"
135,3917,"3"
136,1357,"1"
136,2092,"1"
136,2739,"3"
136,4117,"2"
137,1531,"1"
137,4069,"1"
138,3961,"2"
138,1995,"4"
138,2965,"3"
138,1652,"4"
139,3105,"2"
139,2693,"1"
139,2812,"2"
139,3187,"2"
139,4716,"1"
139,3344,"2"
140,1851,"1"
141,2198,"0"
141,2525,"1"
141,2982,"2"
141,2326,"1"
141,3400,"2"
141,2389,"1"
142,3530,"1"
142,3837,"1"
142,4223,"1"
143,3383,"1"
143,2264,"3"
143,4020,"2"
143,2784,"2"
144,2290,"4"
144,2244,"3"
144,2852,"2"
144,2762,"1"
145,1305,"1"
145,4039,"2"
145,2020,"1"
145,3328,"2"
145,2951,"2"
145,2889,"2"
145,3618,"1"
145,4612,"4"
145,4190,"1"
146,3136,"2"
146,3080,"2"
146,2583,"4"
146,2629,"4"
146,3813,"1"
146,2805,"2"
146,4575,"4"
146,1934,"1"
146,5108,"1"
146,4168,"2"
147,2509,"1"
147,2873,"2"
147,3999,"2"
147,3443,"4"
148,1890,"1"
148,3421,"2"
148,1275,"1"
148,2415,"1"
149,3896,"3"
149,4875,"1"
149,4552,"2"
149,4806,"4"
149,4699,"4"
150,2564,"1"
150,4593,"4"
150,1979,"0"
150,2151,"1"
150,3164,"2"
150,3359,"2"
150,6167,"3"
150,3517,"1"
151,2123,"1"
151,2073,"1"
151,3865,"3"
151,4054,"2"
151,4533,"4"
152,2549,"1"
152,3300,"2"
152,4210,"1"
152,2433,"1"
152,5015,"1"
152,4200,"1"
152,2378,"1"
152,2520,"1"
152,3208,"2"
152,1258,"1"
153,2352,"1"
153,1866,"1"
153,3189,"2"
153,5078,"1"
153,2929,"2"
154,4750,"1"
154,3022,"2"
154,4995,"1"
154,4148,"2"
154,3492,"1"
154,5204,"4"
155,2225,"1"
155,3043,"2"
155,3241,"2"
155,1959,"1"
155,3460,"4"
155,3538,"1"
155,2491,"1"
155,2539,"1"
156,3977,"2"
156,3402,"2"
156,4831,"4"
156,1995,"1"
156,6423,"4"
157,3953,"2"
157,2994,"2"
157,2656,"0"
157,4498,"4"
157,3884,"3"
158,2827,"2"
159,3835,"1"
159,2287,"1"
159,4819,"1"
159,2178,"1"
159,2308,"3"
159,2511,"1"
159,4734,"1"
160,3930,"2"
160,5696,"1"
160,1646,"4"
160,2409,"4"
160,3908,"3"
161,3118,"2"
161,5540,"4"
162,1026,"1"
162,3554,"4"
162,4878,"1"
162,4936,"4"
162,3382,"2"
162,4253,"1"
163,4012,"2"
163,2269,"3"
163,2800,"2"
163,4232,"1"
163,4112,"2"
163,4030,"2"
163,2747,"0"
163,2883,"2"
164,5284,"1"
164,2393,"1"
164,4774,"1"
164,2774,"2"
165,2967,"3"
165,3475,"1"
165,4586,"1"
165,1304,"1"
165,1052,"1"
165,1970,"1"
165,4560,"4"
166,4067,"2"
166,5069,"1"
166,2629,"1"
166,2589,"1"
167,3097,"2"
167,5100,"4"
167,2861,"2"
167,4045,"2"
167,3069,"2"
168,1234,"1"
168,1834,"1"
169,2949,"3"
169,4089,"2"
169,2907,"2"
169,3139,"2"
169,5027,"1"
169,3276,"2"
169,4907,"1"
169,1914,"1"
170,1593,"1"
170,2096,"1"
170,2002,"1"
170,1882,"1"
170,2677,"1"
170,2376,"1"
170,4850,"1"
171,3419,"2"
171,3396,"1"
171,3441,"1"
171,2530,"1"
171,1864,"1"
172,3963,"2"
172,4609,"1"
173,3197,"2"
173,3875,"1"
173,4408,"4"
174,4870,"1"
174,3992,"2"
174,3020,"2"
174,2034,"3"
174,4199,"2"
174,2202,"1"
174,2563,"1"
174,2296,"3"
175,3343,"2"
175,2067,"1"
175,3503,"1"
175,4634,"3"
175,1265,"1"
175,4144,"2"
175,3003,"2"
175,2976,"3"
176,5081,"1"
176,3371,"2"
177,3846,"1"
177,4518,"1"
177,3569,"4"
177,2314,"3"
177,3526,"1"
177,2257,"3"
177,5125,"1"
177,3300,"2"
177,5008,"4"
177,4024,"2"
177,4285,"4"
177,2820,"3"
178,3169,"2"
178,2929,"2"
178,2422,"1"
178,6176,"1"
178,1547,"1"
179,4809,"0"
179,3054,"2"
179,2231,"1"
179,4541,"2"
179,2356,"4"
180,4657,"4"
180,3801,"1"
180,2284,"3"
181,4735,"1"
181,2500,"1"
181,3319,"2"
182,3220,"2"
182,3823,"1"
182,2952,"2"
183,4591,"1"
183,3036,"2"
183,2942,"3"
183,4776,"4"
183,2779,"2"
184,4979,"1"
184,1956,"3"
184,4715,"1"
184,2697,"1"
184,4217,"2"
184,5559,"1"
184,4894,"4"
185,3244,"2"
185,2625,"1"
185,2800,"2"
185,2396,"1"
186,3863,"4"
186,3060,"2"
186,5436,"3"
186,4564,"1"
186,4832,"1"
186,4945,"1"
187,2880,"2"
187,2960,"2"
187,2336,"1"
188,2599,"1"
188,1637,"1"
188,1717,"1"
189,2747,"1"
189,2118,"1"
189,1665,"1"
189,4624,"3"
189,2544,"3"
189,3939,"2"
189,4057,"2"
189,1891,"1"
189,3921,"2"
190,2375,"0"
190,2666,"1"
190,2087,"1"
190,3960,"2"
190,4001,"3"
190,2001,"0"
191,1742,"4"
191,2287,"3"
191,3852,"1"
191,2436,"1"
191,5002,"1"
191,1815,"1"
191,3364,"2"
191,5406,"0"
191,3904,"2"
192,3129,"2"
192,4037,"2"
192,4080,"2"
192,4158,"2"
193,2022,"4"
193,4131,"2"
193,2845,"2"
194,5159,"4"
194,4613,"1"
195,2995,"2"
195,2820,"3"
195,3081,"2"
195,1851,"1"
195,4205,"2"
195,3104,"2"
195,4738,"1"
195,2716,"1"
195,1573,"1"
195,4778,"2"
196,2305,"1"
196,4796,"4"
196,4259,"1"
196,3874,"2"
196,4870,"1"
196,4852,"1"
196,1835,"1"
197,1604,"1"
197,3288,"2"
197,3977,"3"
197,4186,"2"
197,4645,"1"
197,3464,"1"
198,2035,"4"
198,5024,"1"
199,4238,"2"
199,2054,"1"
199,2322,"1"
199,5397,"3"
199,4221,"2"
199,4106,"2"
199,2946,"2"
200,2533,"0"
200,4302,"1"
200,2968,"2"
201,3335,"2"
201,3485,"1"
201,1459,"1"
201,5116,"4"
201,1703,"4"
201,2231,"4"
201,2256,"1"
201,2413,"1"
201,3563,"0"
202,1727,"1"
202,2504,"1"
202,4907,"1"
202,1212,"1"
202,2024,"1"
202,3786,"4"
203,4749,"4"
203,4018,"2"
203,1507,"4"
203,4574,"1"
204,3426,"1"
204,3630,"0"
205,5043,"1"
205,4765,"1"
205,3955,"2"
205,3257,"2"
205,671,"1"
206,2925,"2"
206,4538,"2"
206,3229,"2"
206,1938,"1"
206,2446,"1"
207,4514,"1"
207,4668,"1"
207,3995,"2"
207,4881,"1"
207,2606,"4"
208,2911,"2"
208,2571,"1"
208,1482,"1"
208,3162,"2"
208,4589,"1"
208,3451,"1"
209,3826,"1"
209,2127,"1"
209,4809,"4"
209,4171,"2"
209,3063,"2"
209,3985,"3"
209,3846,"2"
209,2780,"3"
210,2143,"3"
210,3895,"2"
210,2625,"1"
210,2648,"1"
210,1976,"1"
210,2097,"4"
210,3803,"1"
210,3032,"2"
211,3868,"2"
211,5559,"4"
211,2864,"2"
211,2045,"3"
211,4623,"1"
212,3523,"1"
212,4837,"4"
212,1824,"1"
212,2310,"1"
212,2895,"2"
212,5142,"4"
212,2376,"4"
212,5166,"4"
212,4861,"2"
212,4004,"2"
213,1868,"1"
213,5100,"4"
213,4824,"1"
213,2328,"1"
213,1917,"0"
213,2403,"4"
214,3499,"1"
214,1693,"1"
214,3207,"2"
214,4784,"4"
214,3185,"2"
214,3956,"2"
214,3139,"2"
214,4977,"4"
215,2730,"1"
215,2016,"1"
215,2814,"2"
216,1788,"1"
216,2978,"2"
216,4141,"2"
216,3284,"2"
216,2073,"3"
216,3361,"2"
216,2673,"1"
217,1747,"1"
217,4293,"1"
217,2599,"1"
218,4566,"1"
218,4500,"1"
218,3779,"1"
218,4248,"2"
218,2345,"1"
218,2456,"1"
218,3918,"2"
218,2265,"4"
218,5437,"1"
219,5078,"4"
219,1719,"1"
219,2949,"2"
219,2284,"1"
219,3940,"2"
219,4035,"2"
219,1675,"1"
219,2495,"4"
220,4104,"2"
220,4851,"1"
220,4729,"4"
220,4949,"1"
220,2515,"1"
221,4019,"2"
221,5496,"1"
221,4078,"2"
221,4056,"2"
221,4544,"4"
221,5457,"3"
221,5054,"1"
221,3877,"2"
221,1844,"3"
222,3097,"2"
222,5027,"1"
222,2430,"1"
223,5179,"4"
223,1522,"1"
224,1499,"4"
224,4603,"4"
224,2533,"1"
224,3891,"2"
224,1891,"1"
224,4873,"4"
224,2252,"1"
224,4898,"1"
225,2000,"0"
225,2237,"4"
225,3317,"2"
225,3340,"2"
225,2847,"2"
225,2157,"1"
226,1179,"1"
226,4203,"2"
226,3848,"2"
226,4758,"4"
226,3271,"3"
226,5537,"1"
227,3467,"2"
227,4179,"2"
227,2759,"3"
227,4230,"2"
227,2699,"1"
227,1317,"1"
227,3002,"2"
227,3825,"2"
228,5406,"0"
228,4162,"2"
229,3634,"1"
229,2587,"1"
229,3988,"3"
229,2381,"1"
229,2823,"1"
231,4272,"4"
231,5128,"1"
231,2626,"3"
231,5578,"4"
231,1696,"1"
231,2606,"1"
232,4796,"4"
232,2326,"1"
232,3857,"2"
232,3495,"3"
232,4644,"4"
232,5204,"4"
233,3067,"2"
233,2116,"1"
233,1942,"1"
233,3296,"2"
233,3435,"1"
233,4963,"1"
234,2731,"0"
234,2812,"2"
234,1197,"1"
234,4254,"2"
234,3239,"2"
235,3805,"1"
235,1986,"1"
235,4577,"3"
235,3169,"2"
235,4105,"2"
236,4029,"2"
236,1847,"1"
236,4557,"1"
236,3135,"2"
237,3955,"2"
237,2416,"1"
237,2786,"2"
237,1799,"1"
237,2034,"1"
237,1825,"1"
237,2935,"2"
237,4599,"1"
237,4531,"4"
237,4092,"3"
237,2262,"1"
237,2869,"2"
237,1869,"1"
238,2975,"2"
238,2832,"2"
238,2889,"3"
238,3420,"4"
238,2213,"1"
239,4490,"1"
239,5026,"1"
239,3450,"1"
239,2508,"1"
240,3196,"2"
240,5627,"1"
240,5108,"1"
240,4141,"1"
240,3217,"2"
240,3462,"1"
241,2665,"1"
241,1968,"1"
242,3891,"2"
242,4830,"1"
242,2398,"1"
243,3914,"2"
243,5040,"1"
243,1896,"3"
244,2910,"2"
244,5059,"1"
244,5181,"3"
244,3771,"1"
244,3834,"2"
244,1513,"1"
245,4512,"1"
245,1490,"4"
245,6362,"1"
245,1286,"1"
245,4624,"3"
245,1713,"1"
246,4079,"2"
246,3933,"2"
246,5528,"1"
246,3480,"1"
246,3257,"2"
246,4289,"1"
246,3865,"2"
246,3332,"2"
246,5016,"1"
247,4221,"2"
247,4103,"2"
247,3061,"2"
247,1774,"1"
247,2848,"2"
247,2000,"1"
247,3150,"2"
247,3031,"2"
248,1448,"1"
248,4663,"1"
249,4916,"1"
249,1749,"1"
249,3508,"3"
249,1674,"1"
249,2764,"3"
249,4170,"2"
250,2814,"2"
250,4052,"2"
250,2943,"2"
250,2060,"1"
250,3352,"2"
251,2158,"1"
251,1246,"3"
251,2646,"3"
252,3285,"2"
252,1847,"1"
252,4314,"1"
252,2239,"1"
252,4885,"1"
252,2361,"1"
252,5212,"1"
253,2268,"1"
253,3006,"2"
253,1920,"3"
253,2720,"1"
254,4958,"1"
254,2512,"4"
254,4026,"2"
254,2321,"1"
254,4587,"4"
255,4199,"2"
255,4557,"1"
256,2434,"3"
256,3103,"2"
256,2076,"1"
256,2557,"1"
256,2493,"1"
256,3812,"1"
256,2586,"3"
256,3855,"2"
256,4005,"2"
256,2786,"2"
256,1865,"1"
256,2124,"3"
257,4270,"1"
257,2617,"3"
257,5086,"1"
257,1882,"1"
257,5108,"1"
257,2093,"1"
257,4605,"3"
257,3409,"4"
257,3180,"2"
258,2107,"3"
258,1900,"3"
258,4103,"2"
258,3448,"1"
258,4865,"1"
258,5029,"1"
258,3229,"3"
258,1820,"1"
259,1149,"3"
259,3526,"1"
259,3467,"1"
261,1985,"0"
261,3306,"2"
261,2960,"2"
261,2533,"1"
261,3204,"2"
262,4781,"1"
262,4233,"2"
262,2391,"1"
262,5188,"1"
263,3324,"2"
263,4080,"2"
263,4810,"1"
263,2856,"2"
263,4293,"3"
264,3147,"2"
264,2831,"2"
264,4622,"3"
264,5116,"1"
264,2303,"1"
265,3989,"2"
265,2810,"2"
266,3481,"1"
266,1118,"3"
266,3022,"2"
266,2873,"2"
266,1726,"1"
266,3851,"2"
267,3865,"2"
267,2794,"2"
267,3433,"1"
268,2155,"1"
268,3455,"4"
268,4252,"2"
268,4164,"2"
268,4734,"1"
269,4061,"2"
269,3834,"2"
269,4184,"2"
269,4610,"3"
269,2889,"2"
269,4884,"1"
269,2277,"1"
269,5050,"1"
270,4841,"3"
270,5130,"4"
270,1880,"4"
270,3779,"1"
270,3915,"2"
270,2985,"3"
270,4944,"1"
270,2631,"1"
271,1953,"1"
271,4212,"2"
271,2039,"1"
271,1841,"1"
271,1762,"1"
272,4325,"1"
272,3559,"1"
272,2679,"1"
273,3963,"2"
273,2490,"4"
273,2907,"2"
273,4115,"2"
273,2426,"4"
273,1250,"1"
274,5028,"4"
274,4092,"2"
274,5525,"1"
275,2705,"1"
275,3349,"2"
275,3601,"4"
275,4019,"2"
275,4765,"1"
275,4297,"1"
275,2355,"1"
275,2616,"1"
275,3247,"2"
276,4671,"1"
276,1864,"1"
276,2729,"0"
276,4512,"4"
276,1901,"1"
276,2805,"1"
276,4897,"1"
276,4859,"1"
276,4923,"1"
276,4578,"0"
276,2113,"1"
276,2084,"1"
277,3891,"1"
277,1805,"1"
277,2097,"1"
277,2585,"1"
277,2228,"1"
277,5157,"1"
277,2509,"1"
277,2072,"1"
277,1778,"1"
278,2929,"2"
278,4647,"4"
278,4146,"2"
278,5077,"1"
278,4538,"3"
279,1175,"1"
279,3458,"1"
279,3815,"2"
279,5542,"1"
279,2568,"1"
279,5230,"3"
280,4818,"1"
280,1989,"3"
280,3304,"2"
280,4560,"0"
280,4364,"4"
280,3795,"3"
281,3184,"2"
281,1701,"1"
281,4968,"3"
281,2412,"1"
281,4045,"2"
282,1511,"1"
282,4981,"1"
282,1886,"1"
283,3210,"3"
283,4799,"1"
283,2548,"1"
283,1935,"4"
283,4310,"1"
283,2834,"2"
283,5063,"1"
283,2442,"0"
283,2854,"2"
283,1559,"1"
283,4619,"3"
283,3758,"1"
284,3018,"3"
284,3286,"2"
284,3167,"2"
284,2815,"2"
284,2295,"0"
285,2061,"1"
285,3325,"2"
286,2387,"1"
286,1730,"1"
286,2790,"2"
287,4871,"1"
287,4959,"1"
287,2950,"2"
287,3114,"3"
287,5526,"1"
287,5183,"1"
287,3866,"2"
288,1875,"1"
288,3372,"2"
288,1104,"1"
288,4231,"2"
288,5105,"1"
288,4073,"2"
288,2664,"4"
288,2484,"4"
288,2170,"4"
288,2876,"2"
289,3845,"2"
289,3428,"1"
289,2460,"4"
289,4289,"2"
289,2624,"1"
289,1129,"1"
289,4270,"2"
289,4598,"1"
289,2366,"1"
290,2340,"3"
290,2645,"4"
290,4998,"1"
291,4177,"2"
291,4332,"1"
291,3826,"2"
291,3410,"1"
291,2319,"3"
292,1788,"4"
292,3936,"3"
292,2744,"4"
292,4943,"2"
293,2893,"2"
293,3267,"2"
293,3953,"2"
293,2139,"1"
293,3344,"1"
294,1850,"1"
294,4916,"2"
295,4830,"1"
295,1911,"1"
295,3079,"3"
295,2598,"1"
295,2911,"2"
295,2691,"1"
295,1957,"1"
296,2526,"1"
296,2406,"4"
296,2101,"1"
296,3151,"2"
297,2253,"1"
297,3974,"2"
297,3448,"1"
297,4764,"1"
297,2988,"3"
297,4579,"4"
298,3248,"2"
298,4721,"4"
298,4145,"2"
298,4664,"4"
298,2541,"1"
299,3911,"2"
299,4093,"2"
299,5049,"1"
299,5204,"1"
299,2000,"3"
299,4310,"1"
299,5131,"4"
299,4367,"4"
299,3889,"2"
299,1741,"3"
300,3494,"1"
300,2036,"1"
300,3466,"3"
300,1039,"1"
300,3778,"3"
300,1083,"1"
300,4022,"2"
301,2235,"1"
301,4115,"1"
301,5074,"1"
301,3392,"1"
301,4205,"2"
301,1104,"1"
301,3283,"2"
301,2083,"1"
301,2057,"1"
302,2506,"0"
302,4254,"2"
302,4744,"1"
302,3995,"2"
302,3838,"2"
302,4780,"1"
302,2717,"2"
302,4623,"3"
303,2281,"0"
303,977,"1"
303,2838,"2"
303,4540,"3"
304,1114,"1"
304,2865,"2"
304,3955,"2"
305,1126,"1"
305,5159,"4"
305,2372,"1"
305,3172,"2"
306,1881,"1"
306,5356,"1"
306,3007,"3"
306,4866,"2"
306,1815,"1"
307,5185,"1"
307,4487,"2"
307,1252,"1"
307,3040,"3"
307,4567,"1"
307,4957,"2"
308,4059,"2"
308,4940,"1"
308,2181,"4"
308,3807,"1"
308,5090,"1"
308,2700,"2"
309,2897,"2"
309,1983,"1"
309,2470,"1"
309,2299,"1"
310,2928,"2"
310,2397,"1"
310,4234,"2"
310,1578,"1"
310,2668,"3"
310,2560,"1"
310,3763,"3"
310,2264,"1"
310,4890,"2"
311,5014,"4"
311,3958,"2"
311,1611,"1"
311,4161,"2"
312,2632,"1"
312,4449,"1"
312,4143,"3"
312,2807,"2"
312,3846,"2"
312,4912,"2"
312,4297,"2"
312,3133,"2"
312,4283,"2"
313,3935,"2"
313,2433,"1"
313,3742,"1"
313,4985,"2"
313,4325,"1"
313,2534,"1"
313,3197,"3"
313,3435,"3"
314,3830,"2"
314,4840,"2"
314,3863,"1"
314,2146,"4"
314,2161,"4"
314,3364,"1"
315,6358,"1"
315,4597,"3"
315,1557,"4"
315,3971,"2"
315,2738,"4"
315,1436,"1"
316,3881,"3"
316,5234,"1"
316,1038,"4"
316,4802,"2"
316,1755,"1"
316,2349,"1"
316,2501,"1"
317,3409,"1"
317,4360,"4"
317,3238,"2"
317,4176,"2"
317,1861,"1"
317,1059,"0"
317,4190,"2"
